id,id_categoria,id_estado,id_depto,id_custodio,id_proveedor,nombre,marca,modelo,serial,familia,subfam,ubicacion,area,fecha_ingreso,costo_adquis,valor_actual,descripcion,observaciones,foto_url,factura_url,borrado,fecha_baja,fecha_crea,fecha_act,id_seccion,id_familia,id_subfamilia
ACT-3305,CAT-0009,1,ORG-0001,null,PROV-001,Cuadro Alusivo A Ny,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:37.607+00,2026-05-06 15:49:37.607+00,null,null,null
ACT-3306,CAT-0015,1,ORG-0001,null,PROV-001,"Televisor 32"" ",Siragon,TV-5432,G917A6P55SY0841785,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:37.847+00,2026-05-06 15:49:37.847+00,null,null,null
ACT-3307,CAT-0015,1,ORG-0001,null,PROV-001,Decodificador De Television Satelital Hd,Directv,Por identificar,Por identificar,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:38.68+00,2026-05-06 15:49:38.68+00,CAT-0059,null,null
ACT-3308,CAT-0023,1,ORG-0001,null,PROV-001,Maletero Habitacion ,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:39.533+00,2026-05-06 15:49:39.533+00,null,null,null
ACT-3309,CAT-0009,1,ORG-0001,null,PROV-001,Repisa De Madera (Tv + Deco),,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:40.38+00,2026-05-06 15:49:40.38+00,null,null,null
ACT-331,CAT-0001,1,ORG-0001,null,PROV-001,Tendedor De Toalla Lavamanos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:10.98+00,2026-05-06 15:45:10.98+00,null,null,null
ACT-3310,CAT-0023,1,ORG-0001,null,PROV-001,Espejo Pared  Marco De Madera,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:41.23+00,2026-05-06 15:49:41.23+00,null,null,null
ACT-3311,CAT-0022,1,ORG-0001,null,PROV-001,Lampara De Techo,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:42.097+00,2026-05-06 15:49:42.097+00,null,null,null
ACT-3312,CAT-0023,1,ORG-0001,null,PROV-001,Mueble Espejo Empotrable Baño,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:42.923+00,2026-05-06 15:49:42.923+00,null,null,null
ACT-3313,CAT-0023,1,ORG-0001,null,PROV-001,Lava Manos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43+00,2026-05-06 15:49:43+00,null,null,null
ACT-3314,CAT-0018,1,ORG-0001,null,PROV-001,Llave Lava Manos Doble,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.083+00,2026-05-06 15:49:43.083+00,CAT-0070,null,null
ACT-3315,CAT-0025,1,ORG-0001,null,PROV-001,Vaso Uso Dental Baño,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.167+00,2026-05-06 15:49:43.167+00,null,null,null
ACT-3316,CAT-0023,1,ORG-0001,null,PROV-001,Sanitario (Taza De Poceta Para Fluxometro),Sanitarios Maracay,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.24+00,2026-05-06 15:49:43.24+00,null,null,null
ACT-3317,CAT-0018,1,ORG-0001,null,PROV-001,Fluxometro Para W.C,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.323+00,2026-05-06 15:49:43.323+00,CAT-0070,null,null
ACT-3318,CAT-0018,1,ORG-0001,null,PROV-001,Ducha De Bidet,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.397+00,2026-05-06 15:49:43.397+00,CAT-0070,null,null
ACT-3319,CAT-0001,1,ORG-0001,null,PROV-001,Papelera Baño Blanca ,Ikea,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.467+00,2026-05-06 15:49:43.467+00,null,null,null
ACT-332,CAT-0015,1,ORG-0001,null,PROV-001,Secador De Cabello ,Premier,SE4044,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.043+00,2026-05-06 15:45:11.043+00,CAT-0062,null,null
ACT-3320,CAT-0001,1,ORG-0001,null,PROV-001,Bandeja Porta Accesorios Baño,Eurochef,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.567+00,2026-05-06 15:49:43.567+00,null,null,null
ACT-3321,CAT-0001,1,ORG-0001,null,PROV-001,Dispensador De Papel Higienico,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.663+00,2026-05-06 15:49:43.663+00,null,null,null
ACT-3322,CAT-0001,1,ORG-0001,null,PROV-001,Tendedor De Toalla Lavamanos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.74+00,2026-05-06 15:49:43.74+00,null,null,null
ACT-3323,CAT-0018,1,ORG-0001,null,PROV-001,Regadera Ducha,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.813+00,2026-05-06 15:49:43.813+00,CAT-0070,null,null
ACT-3324,CAT-0018,1,ORG-0001,null,PROV-001,Llave Regadera Tradicional,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:43.913+00,2026-05-06 15:49:43.913+00,CAT-0070,null,null
ACT-3325,CAT-0001,1,ORG-0001,null,PROV-001,Jabonera,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.007+00,2026-05-06 15:49:44.007+00,null,null,null
ACT-3326,CAT-0001,1,ORG-0001,null,PROV-001,Soporte De Baño Para Discapacitados,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.087+00,2026-05-06 15:49:44.087+00,null,null,null
ACT-3327,CAT-0015,1,ORG-0001,null,PROV-001,Secador De Cabello ,Conair 1875,247VH,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.15+00,2026-05-06 15:49:44.15+00,CAT-0062,null,null
ACT-3328,CAT-0014,1,ORG-0001,null,PROV-001,Cerradura Electronica Classic 4g Rfid Ble - 34,Assa Abloy,Por identificar,por identificar,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.22+00,2026-05-06 15:49:44.22+00,CAT-0044,null,null
ACT-3329,CAT-0015,1,ORG-0001,null,PROV-001,Cafetera 4 Tazas Con Jarra De Vidrio,Oster,3301-013,No posee,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.313+00,2026-05-06 15:49:44.313+00,CAT-0056,null,null
ACT-333,CAT-0001,1,ORG-0001,null,PROV-001,Bandeja Porta Accesorios Baño,Eurochef,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:45:11.093+00,2026-05-06 15:45:11.093+00,null,null,null
ACT-3330,CAT-0025,1,ORG-0001,null,PROV-001,"Mug Decorativo 379,7 Ml",Corona,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.427+00,2026-05-06 15:49:44.427+00,null,null,null
ACT-3331,CAT-0025,1,ORG-0001,null,PROV-001,Vaso De Vidrio 200ml,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.513+00,2026-05-06 15:49:44.513+00,null,null,null
ACT-3332,CAT-0025,1,ORG-0001,null,PROV-001,Copa Para Vino Tinto,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.587+00,2026-05-06 15:49:44.587+00,null,null,null
ACT-3333,CAT-0025,1,ORG-0001,null,PROV-001,Copa Para Vino Blanco,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:49:44.69+00,2026-05-06 15:49:44.69+00,null,null,null
